LID(FY2025-26),CC training doc approved (Data Team),Current Status,Comment ,Check date,Check by 
20250704160144_156,rejected,Rejected,Single farmer_image Not valid,,
20250703212238_156,rejected,Rejected,Single farmer_image Not valid,,
20250707152235_136,pending,Approved,,19-12-2025,kashinath
20250707203843_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250709100612_136,approved,,,,
20250709095105_136,approved,,,,
20250709134916_136,approved,,,,
20250711183725_136,approved,,,,
20250711181127_136,approved,,,,
20250719123129_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250726112052_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250718120810_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250716100317_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250716094826_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250714215147_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250730134810_136,approved,,,,
20250730140621_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250801103903_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250730120418_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250723115744_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250730102642_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250719125144_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250801090006_136,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250808115123_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250714204533_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250730105856_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250709211631_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250707203613_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250717133446_156,pending,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250801091429_136,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250709135851_136,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250707202735_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250707201927_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250802141059_130,rejected,Approved,cc training done after 6 month of plantation,19-12-2025,kashinath
20250802140427_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250813154732_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20250903130609_123,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20251016185649_130,pending,Rejected,Single farmer_image Not valid,,kashinath
20250908203643_130,rejected,Rejected,Single farmer_image Not valid,19-12-2025,kashinath
20251016190439_130,pending,Rejected,Single farmer_image Not valid,,kashinath
